venue,filter,swept,kept,cum_pool,seconds,error
"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)","prefix:10.36001,from-pub-date:2007-01-01",2754,13,13,45.0,
Microelectronics Reliability,"issn:0026-2714,from-pub-date:2009-01-01",6619,108,121,20.2,
IEEE Trans. Reliability,"issn:0018-9529,from-pub-date:2009-01-01",2614,5,126,9.1,
Reliability Engineering & System Safety,"issn:0951-8320,from-pub-date:2009-01-01",8570,1,127,52.3,
IEEE Trans. Device and Materials Reliability,"issn:1530-4388,from-pub-date:2009-01-01",2106,34,161,11.0,
IEEE JESTPE,"issn:2168-6777,from-pub-date:2013-01-01",5253,25,186,16.8,
